,Provider,city,date,offset,Air Temperature,Max Air Temp,Min Air Temp,Precipitation
0,weatherdotcom,bremen,2015-06-21 00:00:00,6,-7.9,,,
0,accuweather,bremen,2015-06-22 00:00:00,0,,2.38888888889,0.866666666667,7.12
0,accuweather,bremen,2015-06-22 00:00:00,1,,-0.944444444444,0.311111111111,7.33
0,accuweather,bremen,2015-06-22 00:00:00,2,,-0.388888888889,-0.244444444444,7.1
0,accuweather,bremen,2015-06-22 00:00:00,3,,1.27777777778,1.42222222222,7.04
0,accuweather,bremen,2015-06-22 00:00:00,4,,1.83333333333,0.866666666667,7.42
0,accuweather,bremen,2015-06-22 00:00:00,5,,2.94444444444,-0.244444444444,7.35
0,accuweather,bremen,2015-06-22 00:00:00,6,,2.38888888889,-0.244444444444,7.5
0,openweathermap,bremen,2015-06-22 00:00:00,0,-5.36,1.54,-2.29,0.48
0,openweathermap,bremen,2015-06-22 00:00:00,1,-3.92,0.6,-2.65,6.04
0,openweathermap,bremen,2015-06-22 00:00:00,2,-4.72,1.02,-2.18,6.57
0,openweathermap,bremen,2015-06-22 00:00:00,3,-6.87,-0.42,-3.14,6.96
0,openweathermap,bremen,2015-06-22 00:00:00,4,-7.27,-0.37,-2.3,5.72
0,openweathermap,bremen,2015-06-22 00:00:00,5,-7.27,-0.37,-2.3,5.72
0,openweathermap,bremen,2015-06-22 00:00:00,6,-3.92,2.98,0.5,5.96
0,weatherdotcom,bremen,2015-06-22 00:00:00,0,1.6,,,
0,weatherdotcom,bremen,2015-06-22 00:00:00,1,-5.4,,,
0,weatherdotcom,bremen,2015-06-22 00:00:00,2,-5.4,,,
0,weatherdotcom,bremen,2015-06-22 00:00:00,3,-4.4,,,
0,weatherdotcom,bremen,2015-06-22 00:00:00,4,-9.4,,,
0,weatherdotcom,bremen,2015-06-22 00:00:00,5,-9.4,,,
0,weatherdotcom,bremen,2015-06-22 00:00:00,6,-8.4,,,
0,accuweather,bremen,2015-06-23 00:00:00,0,,0.633333333333,-0.4,1.2
0,accuweather,bremen,2015-06-23 00:00:00,1,,1.18888888889,1.26666666667,1.15
0,accuweather,bremen,2015-06-23 00:00:00,2,,1.18888888889,1.26666666667,1.2
0,accuweather,bremen,2015-06-23 00:00:00,3,,-1.58888888889,0.155555555556,1.13
0,accuweather,bremen,2015-06-23 00:00:00,4,,-2.14444444444,-0.955555555556,1.22
0,accuweather,bremen,2015-06-23 00:00:00,5,,0.633333333333,1.26666666667,1.24
0,accuweather,bremen,2015-06-23 00:00:00,6,,1.18888888889,0.155555555556,1.3
0,openweathermap,bremen,2015-06-23 00:00:00,0,-3.48,1.22,-0.87,-13.69
0,openweathermap,bremen,2015-06-23 00:00:00,1,-1.41,3.29,-0.03,-5.99
0,openweathermap,bremen,2015-06-23 00:00:00,2,-0.91,1.75,-0.61,-5.86
0,openweathermap,bremen,2015-06-23 00:00:00,3,-3.45,1.15,0.41,-0.02
0,openweathermap,bremen,2015-06-23 00:00:00,4,-4.68,0.02,-2.32,-5.33
0,openweathermap,bremen,2015-06-23 00:00:00,5,-4.67,0.03,-2.85,-0.61
0,openweathermap,bremen,2015-06-23 00:00:00,6,-4.67,0.03,-2.85,-0.61
0,weatherdotcom,bremen,2015-06-23 00:00:00,0,3.6,,,
0,weatherdotcom,bremen,2015-06-23 00:00:00,1,-5.4,,,
0,weatherdotcom,bremen,2015-06-23 00:00:00,2,-9.4,,,
0,weatherdotcom,bremen,2015-06-23 00:00:00,3,-8.4,,,
0,weatherdotcom,bremen,2015-06-23 00:00:00,4,-5.4,,,
0,weatherdotcom,bremen,2015-06-23 00:00:00,5,-8.4,,,
0,weatherdotcom,bremen,2015-06-23 00:00:00,6,-9.4,,,
0,accuweather,bremen,2015-06-24 00:00:00,0,,1.17777777778,0.144444444444,-0.01
0,accuweather,bremen,2015-06-24 00:00:00,1,,1.73333333333,0.7,-0.02
0,accuweather,bremen,2015-06-24 00:00:00,2,,2.28888888889,1.81111111111,-0.06
0,accuweather,bremen,2015-06-24 00:00:00,3,,2.28888888889,2.36666666667,0.0
0,accuweather,bremen,2015-06-24 00:00:00,4,,2.28888888889,1.81111111111,0.0
